"","workclass","marital_status","occupation","relationship","race","sex","native_country","income","age","education_num","hours_per_week","capital"
"37","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",50,9,50,7688
"38","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",67,15,48,20051
"39","Self-emp-inc","Married","Exec-managerial","Husband","White","Male","USA","<=50K",43,14,45,5013
"40","Private","Married","Prof-specialty","Husband","White","Male","Other",">50K",31,13,40,7688
"41","Private","Never-married","Tech-support","Not-in-family","White","Male","USA","<=50K",25,10,40,2174
"42","Private","Divorced","Prof-specialty","Not-in-family","White","Female","USA","<=50K",52,14,60,6849
"43","Local-gov","Never-married","Prof-specialty","Own-child","White","Male","USA","<=50K",26,13,40,1055
"44","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",46,15,45,15024
"45","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",43,10,60,15024
"46","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",33,13,60,15024
"47","Private","Married","Sales","Husband","White","Male","USA",">50K",36,10,50,5178
"48","Private","Never-married","Exec-managerial","Other-relative","White","Male","USA","<=50K",24,9,50,4101
"49","Private","Divorced","Prof-specialty","Unmarried","White","Female","USA",">50K",42,12,40,8614
"50","State-gov","Married","Transport-moving","Husband","White","Male","USA","<=50K",27,10,40,3411
"51","Private","Never-married","Sales","Own-child","White","Female","USA","<=50K",22,9,40,2597
"52","Private","Divorced","Prof-specialty","Unmarried","White","Female","USA",">50K",46,16,65,25236
"53","Private","Married","Tech-support","Husband","White","Male","USA","<=50K",40,11,40,4386
"54","Private","Never-married","Prof-specialty","Not-in-family","White","Male","USA","<=50K",29,13,40,4650
"55","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",42,13,45,7298
"56","Self-emp-not-inc","Married","Exec-managerial","Husband","White","Male","Other",">50K",65,7,59,9386
"57","Private","Married","Craft-repair","Husband","White","Male","USA","<=50K",35,10,40,2407
"58","Private","Widowed","Other-service","Unmarried","Black","Female","USA","<=50K",56,9,20,594
"59","Private","Never-married","Exec-managerial","Not-in-family","White","Female","USA",">50K",42,14,50,14084
"60","Private","Married","Transport-moving","Husband","White","Male","USA",">50K",55,9,40,7688
"61","State-gov","Married","Exec-managerial","Husband","White","Male","USA",">50K",29,13,40,7688
"62","Private","Never-married","Sales","Not-in-family","White","Female","USA","<=50K",23,9,40,2463
"63","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",32,9,48,5178
"64","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",33,13,47,3103
"65","Private","Married","Adm-clerical","Wife","White","Female","USA",">50K",53,10,40,4386
"66","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",55,9,40,4386
"67","Self-emp-not-inc","Married","Sales","Husband","White","Male","USA",">50K",71,14,40,10605
"68","Private","Divorced","Tech-support","Not-in-family","White","Female","USA","<=50K",29,11,45,2174
"69","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",37,13,50,7688
"70","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",39,13,45,15024
"71","Private","Married","Machine-op-inspct","Husband","White","Male","USA",">50K",37,7,44,3103
"72","Private","Never-married","Exec-managerial","Not-in-family","White","Female","USA","<=50K",21,10,40,4101
"73","Private","Widowed","Other-service","Not-in-family","Black","Female","USA","<=50K",78,9,40,2964
"74","Private","Widowed","Prof-specialty","Not-in-family","White","Female","USA","<=50K",51,10,40,3325
"75","Private","Married","Machine-op-inspct","Husband","White","Male","USA","<=50K",40,10,40,2580
"76","Self-emp-inc","Married","Exec-managerial","Husband","White","Male","USA",">50K",39,13,50,15024
"77","Self-emp-not-inc","Married","Craft-repair","Husband","White","Male","USA",">50K",54,9,52,15024
"78","Private","Married","Machine-op-inspct","Husband","White","Male","USA",">50K",50,9,40,3103
"79","Self-emp-inc","Married","Exec-managerial","Husband","White","Male","Other","<=50K",66,5,1,1409
"80","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",44,13,60,7688
"81","Private","Married","Adm-clerical","Husband","White","Male","USA",">50K",30,13,40,7298
"82","Private","Married","Machine-op-inspct","Husband","White","Male","USA","<=50K",61,9,40,3471
"83","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",42,10,52,7298
"84","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",41,13,40,3103
"85","Federal-gov","Divorced","Tech-support","Not-in-family","White","Female","USA","<=50K",45,9,40,4865
"86","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",33,14,44,15024
"87","Self-emp-inc","Married","Exec-managerial","Husband","White","Male","USA",">50K",50,9,40,7298
"88","Private","Married","Craft-repair","Husband","White","Male","USA","<=50K",44,11,40,3411
"89","Private","Married","Adm-clerical","Husband","White","Male","USA",">50K",65,13,20,10605
"90","Private","Married","Craft-repair","Husband","White","Male","Other","<=50K",50,9,40,4386
"91","Self-emp-inc","Married","Sales","Husband","White","Male","USA",">50K",44,10,60,5178
"92","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",54,16,45,15024
"93","Self-emp-not-inc","Married","Craft-repair","Husband","Amer-Indian-Eskimo","Male","USA",">50K",48,10,40,7688
"94","Private","Divorced","Exec-managerial","Not-in-family","White","Male","USA","<=50K",31,13,45,4650
"95","Self-emp-inc","Married","Prof-specialty","Husband","White","Male","USA",">50K",54,15,60,99999
"96","Self-emp-inc","Married","Exec-managerial","Husband","White","Male","USA",">50K",51,14,50,15024
"97","Private","Married","Protective-serv","Husband","White","Male","USA",">50K",67,13,7,6514
"98","Private","Married","Adm-clerical","Wife","White","Female","USA",">50K",50,9,40,5178
"99","Self-emp-not-inc","Married","Sales","Husband","White","Male","USA",">50K",47,13,50,15024
"100","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",35,16,40,7298
"101","Local-gov","Widowed","Adm-clerical","Unmarried","White","Female","USA","<=50K",61,9,35,1471
"102","Private","Never-married","Prof-specialty","Not-in-family","White","Female","USA","<=50K",33,10,16,3674
"103","Private","Divorced","Tech-support","Own-child","White","Female","USA","<=50K",71,13,16,2329
"104","Self-emp-inc","Married","Craft-repair","Husband","White","Male","USA",">50K",32,13,50,7688
"105","Private","Married","Exec-managerial","Husband","Asian-Pac-Islander","Male","Other",">50K",52,9,40,99999
"106","Private","Married","Sales","Husband","White","Male","USA",">50K",65,14,40,20051
"107","Private","Married","Transport-moving","Husband","Black","Male","USA","<=50K",54,9,40,5013
"108","Private","Married","Handlers-cleaners","Husband","White","Male","USA","<=50K",51,6,45,2105
"109","Self-emp-inc","Married","Farming-fishing","Husband","White","Male","USA",">50K",45,13,35,4386
"110","Private","Married","Other-service","Wife","Black","Female","USA","<=50K",39,5,34,3411
"111","Self-emp-not-inc","Married","Sales","Husband","White","Male","USA","<=50K",45,10,40,5013
"112","Private","Divorced","Craft-repair","Not-in-family","White","Male","USA","<=50K",25,9,45,3325
"113","Self-emp-inc","Married","Exec-managerial","Husband","White","Male","USA",">50K",48,9,40,7688
"114","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",40,12,36,7298
"115","Self-emp-inc","Married","Sales","Husband","White","Male","USA",">50K",53,9,40,99999
"116","Private","Married","Farming-fishing","Husband","White","Male","Other","<=50K",31,6,40,2105
"117","State-gov","Married","Adm-clerical","Husband","White","Male","USA",">50K",53,9,35,15024
"118","Private","Divorced","Machine-op-inspct","Not-in-family","White","Male","USA","<=50K",49,10,45,3325
"119","Self-emp-inc","Married","Exec-managerial","Husband","White","Male","USA",">50K",64,13,55,15024
"120","Self-emp-not-inc","Married","Prof-specialty","Husband","White","Male","USA",">50K",30,11,65,15024
"121","Private","Married","Adm-clerical","Wife","White","Female","USA","<=50K",59,13,30,2885
"122","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",52,13,50,99999
"123","Private","Married","Prof-specialty","Husband","White","Male","Other",">50K",62,16,40,7688
"124","Private","Divorced","Adm-clerical","Not-in-family","White","Male","USA",">50K",39,9,40,10520
"125","Private","Married","Prof-specialty","Husband","White","Male","Other",">50K",55,14,50,15024
"126","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",46,15,60,99999
"127","Private","Married","Sales","Wife","White","Female","USA",">50K",52,13,60,15024
"128","Private","Married","Other-service","Husband","White","Male","Other","<=50K",39,7,70,2407
"129","Private","Never-married","Sales","Not-in-family","White","Female","USA","<=50K",28,9,48,2202
"130","Private","Married","Machine-op-inspct","Husband","White","Male","USA",">50K",54,9,50,5178
"131","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",48,14,40,15024
"132","State-gov","Married","Prof-specialty","Husband","White","Male","USA",">50K",65,14,35,6514
"133","Private","Married","Prof-specialty","Husband","White","Male","Other",">50K",44,13,50,15024
"134","Private","Married","Sales","Husband","White","Male","USA",">50K",44,12,40,7688
"135","Private","Married","Craft-repair","Husband","White","Male","USA","<=50K",51,4,40,2961
"136","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",43,13,60,99999
"137","Private","Never-married","Adm-clerical","Own-child","White","Female","USA","<=50K",17,7,20,1055
"138","State-gov","Married","Exec-managerial","Wife","White","Female","USA",">50K",53,9,40,15024
"139","Private","Never-married","Exec-managerial","Own-child","White","Male","USA","<=50K",24,14,90,6849
"140","Self-emp-not-inc","Married","Exec-managerial","Husband","White","Male","USA",">50K",64,13,35,15024
"141","Private","Divorced","Exec-managerial","Not-in-family","White","Female","USA",">50K",46,14,50,27828
"142","Private","Married","Prof-specialty","Wife","White","Female","USA",">50K",49,13,20,99999
"143","Private","Married","Protective-serv","Husband","White","Male","USA","<=50K",71,9,20,6767
"144","Private","Married","Tech-support","Husband","White","Male","USA",">50K",26,10,40,3103
"145","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",50,10,50,99999
"146","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",51,11,50,3103
"147","Private","Married","Sales","Husband","White","Male","USA",">50K",43,10,40,7688
"148","Private","Married","Sales","Husband","White","Male","USA",">50K",38,13,40,7298
"149","Private","Never-married","Adm-clerical","Not-in-family","White","Male","USA","<=50K",31,12,38,2202
"150","Local-gov","Married","Prof-specialty","Not-in-family","White","Female","USA",">50K",42,13,45,8614
"151","Private","Married","Exec-managerial","Husband","Asian-Pac-Islander","Male","USA",">50K",39,14,40,15024
"152","Private","Married","Sales","Husband","White","Male","USA",">50K",33,9,40,3103
"153","Private","Never-married","Exec-managerial","Not-in-family","White","Male","USA","<=50K",41,9,40,2174
"154","Local-gov","Married","Protective-serv","Husband","White","Male","USA","<=50K",73,4,10,2228
"155","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",35,11,50,7298
"156","Self-emp-not-inc","Never-married","Prof-specialty","Unmarried","White","Female","Other",">50K",22,9,40,99999
"157","Federal-gov","Never-married","Transport-moving","Not-in-family","Black","Male","USA","<=50K",45,9,40,3325
"158","Self-emp-inc","Married","Craft-repair","Husband","White","Male","USA",">50K",32,9,45,5178
"159","Local-gov","Married","Exec-managerial","Husband","White","Male","USA",">50K",61,13,50,5178
"160","Local-gov","Divorced","Prof-specialty","Unmarried","White","Female","USA","<=50K",45,14,45,1506
"161","Private","Married","Adm-clerical","Wife","White","Female","USA",">50K",46,9,40,7688
"162","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",50,14,45,15024
"163","Private","Never-married","Prof-specialty","Not-in-family","White","Male","USA",">50K",26,14,40,8614
"164","Private","Married","Prof-specialty","Not-in-family","Asian-Pac-Islander","Male","Other",">50K",40,13,40,13550
"165","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",36,9,40,3103
"166","Self-emp-inc","Married","Exec-managerial","Husband","White","Male","USA",">50K",60,10,50,7688
"167","Self-emp-not-inc","Married","Farming-fishing","Husband","White","Male","USA","<=50K",66,9,40,1409
"168","Private","Married","Craft-repair","Husband","White","Male","USA","<=50K",24,4,38,2635
"169","Private","Never-married","Prof-specialty","Not-in-family","White","Male","USA","<=50K",34,14,60,4865
"170","Self-emp-not-inc","Married","Prof-specialty","Wife","White","Female","USA",">50K",63,10,10,20051
"171","State-gov","Never-married","Prof-specialty","Not-in-family","White","Male","USA",">50K",37,11,40,8614
"172","Self-emp-inc","Married","Sales","Husband","White","Male","USA",">50K",43,10,55,99999
"173","Private","Married","Sales","Husband","White","Male","USA",">50K",66,10,40,5556
"174","Private","Married","Craft-repair","Husband","White","Male","USA","<=50K",47,11,40,5013
"175","Self-emp-inc","Married","Sales","Husband","White","Male","USA",">50K",57,14,65,15024
"176","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",41,9,40,7298
"177","Private","Married","Farming-fishing","Husband","White","Male","USA","<=50K",65,11,60,6767
"178","Self-emp-not-inc","Never-married","Other-service","Not-in-family","White","Male","USA","<=50K",64,9,40,1055
"179","Self-emp-not-inc","Married","Sales","Husband","White","Male","USA",">50K",59,13,40,15024
"180","Private","Married","Sales","Husband","White","Male","USA",">50K",29,14,40,7298
"181","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",53,13,40,7688
"182","Self-emp-inc","Married","Sales","Husband","White","Male","USA",">50K",65,13,60,99999
"183","Self-emp-not-inc","Married","Transport-moving","Husband","White","Male","USA",">50K",23,7,60,7688
"184","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",44,14,40,15024
"185","Private","Never-married","Handlers-cleaners","Own-child","White","Male","USA","<=50K",18,5,40,594
"186","Private","Never-married","Exec-managerial","Not-in-family","White","Female","USA",">50K",31,13,50,14344
"187","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",37,13,40,15024
"188","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",26,15,60,99999
"189","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",36,10,44,7298
"190","Self-emp-inc","Separated","Prof-specialty","Not-in-family","White","Female","USA",">50K",34,14,40,4787
"191","Private","Married","Handlers-cleaners","Husband","White","Male","Other","<=50K",37,5,50,3781
"192","Self-emp-inc","Married","Sales","Husband","White","Male","USA",">50K",56,13,50,15024
"193","Private","Married","Sales","Husband","White","Male","USA","<=50K",54,10,50,3137
"194","Private","Never-married","Adm-clerical","Not-in-family","White","Male","USA","<=50K",45,9,40,3325
"195","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",60,9,40,7298
"196","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",38,11,40,4386
"197","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",64,13,40,15024
"198","Private","Married","Sales","Husband","White","Male","USA",">50K",39,9,44,3103
"199","Self-emp-inc","Married","Machine-op-inspct","Husband","White","Male","USA","<=50K",69,13,30,3818
"200","Self-emp-inc","Married","Exec-managerial","Husband","White","Male","USA",">50K",44,13,52,7688
"201","Private","Married","Transport-moving","Husband","White","Male","USA",">50K",50,13,40,7298
"202","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",51,13,60,5178
"203","Private","Widowed","Machine-op-inspct","Unmarried","White","Male","USA","<=50K",54,9,40,914
"204","State-gov","Married","Prof-specialty","Husband","Asian-Pac-Islander","Male","Other","<=50K",58,16,40,4064
"205","Private","Married","Adm-clerical","Wife","White","Female","USA","<=50K",43,10,15,4064
"206","Self-emp-inc","Married","Exec-managerial","Husband","White","Male","USA",">50K",56,10,50,7688
"207","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",34,13,50,7688
"208","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",41,13,50,7298
"209","Self-emp-not-inc","Never-married","Machine-op-inspct","Not-in-family","White","Male","USA","<=50K",77,9,20,401
"210","Private","Never-married","Exec-managerial","Not-in-family","Black","Male","USA",">50K",39,14,52,8614
"211","Private","Divorced","Prof-specialty","Not-in-family","White","Female","USA",">50K",37,11,45,8614
"212","Federal-gov","Married","Exec-managerial","Husband","White","Male","USA",">50K",52,9,40,7298
"213","Private","Married","Tech-support","Husband","White","Male","USA",">50K",32,13,40,15024
"214","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",47,11,40,7688
"215","Private","Never-married","Adm-clerical","Not-in-family","White","Female","USA","<=50K",32,10,50,4101
"216","Private","Divorced","Exec-managerial","Not-in-family","White","Female","USA",">50K",40,13,40,10520
"217","Private","Married","Handlers-cleaners","Husband","White","Male","USA",">50K",51,9,40,3103
"218","State-gov","Married","Prof-specialty","Husband","White","Male","USA",">50K",55,14,45,7688
"219","Private","Married","Craft-repair","Husband","White","Male","USA","<=50K",27,10,70,2829
"220","Private","Married","Transport-moving","Husband","White","Male","USA",">50K",47,9,55,7688
"221","Private","Never-married","Adm-clerical","Not-in-family","White","Female","USA","<=50K",34,9,40,4865
"222","Self-emp-not-inc","Married","Prof-specialty","Husband","White","Male","USA",">50K",52,15,45,99999
"223","Private","Divorced","Exec-managerial","Not-in-family","White","Female","USA",">50K",39,10,40,8614
"224","Local-gov","Never-married","Adm-clerical","Unmarried","Amer-Indian-Eskimo","Female","USA","<=50K",40,10,35,2977
"225","Local-gov","Divorced","Prof-specialty","Unmarried","White","Female","USA",">50K",45,13,50,4934
"226","Private","Never-married","Other-service","Not-in-family","White","Male","USA","<=50K",25,10,48,2597
"227","Private","Married","Adm-clerical","Wife","White","Female","USA",">50K",37,10,45,7298
"228","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",38,13,40,7688
"229","Private","Married","Sales","Husband","White","Male","USA",">50K",43,10,40,7688
"230","Private","Divorced","Exec-managerial","Other-relative","White","Female","USA","<=50K",57,10,10,594
"231","Self-emp-not-inc","Married","Exec-managerial","Husband","White","Male","Other",">50K",53,4,50,4386
"232","Private","Divorced","Craft-repair","Not-in-family","White","Male","USA","<=50K",34,9,55,6849
"233","Private","Married","Sales","Wife","White","Female","USA","<=50K",40,9,20,5013
"234","Private","Never-married","Prof-specialty","Not-in-family","White","Male","USA",">50K",44,15,40,14084
"235","Self-emp-inc","Married","Sales","Husband","White","Male","USA",">50K",37,9,60,7688
"236","Federal-gov","Married","Adm-clerical","Wife","White","Female","USA",">50K",38,12,33,7688
"237","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",39,9,50,7298
"238","Private","Widowed","Priv-house-serv","Not-in-family","Black","Female","USA","<=50K",81,5,5,2062
"239","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",36,13,45,3103
"240","Private","Divorced","Craft-repair","Not-in-family","White","Male","USA","<=50K",34,9,35,3325
"241","Private","Married","Handlers-cleaners","Husband","White","Male","Other","<=50K",38,9,30,2829
"242","State-gov","Never-married","Prof-specialty","Not-in-family","White","Female","USA",">50K",64,16,40,4787
"243","Self-emp-not-inc","Never-married","Exec-managerial","Not-in-family","White","Male","USA","<=50K",35,9,50,4650
"244","Self-emp-inc","Married","Exec-managerial","Husband","White","Male","USA",">50K",39,12,55,15024
"245","Self-emp-inc","Married","Transport-moving","Husband","White","Male","USA",">50K",57,15,50,15024
"246","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",35,10,60,15024
"247","Self-emp-not-inc","Married","Sales","Husband","White","Male","USA",">50K",51,13,50,15024
"248","Private","Married","Prof-specialty","Husband","White","Male","USA",">50K",46,15,50,99999
"249","Private","Married","Exec-managerial","Own-child","White","Male","USA",">50K",28,10,50,7688
"250","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",44,13,50,15024
"251","Private","Married","Tech-support","Husband","White","Male","Other","<=50K",35,10,55,2829
"252","Private","Never-married","Farming-fishing","Not-in-family","White","Male","USA","<=50K",25,12,45,2354
"253","Private","Never-married","Craft-repair","Own-child","White","Male","USA",">50K",45,9,48,10520
"254","Private","Married","Sales","Husband","White","Male","USA",">50K",33,9,45,7298
"255","Private","Divorced","Prof-specialty","Not-in-family","White","Male","USA",">50K",36,15,45,99999
"256","Private","Never-married","Other-service","Not-in-family","White","Female","USA","<=50K",71,10,60,2964
"257","Self-emp-not-inc","Married","Sales","Wife","White","Female","USA",">50K",57,15,35,15024
"258","Private","Married","Sales","Husband","White","Male","USA","<=50K",39,13,40,3464
"259","Private","Married","Sales","Husband","White","Male","USA",">50K",48,10,40,3103
"260","Self-emp-inc","Married","Adm-clerical","Wife","White","Female","Other",">50K",64,9,40,20051
"261","Private","Divorced","Prof-specialty","Unmarried","White","Female","USA","<=50K",45,12,38,5455
"262","Local-gov","Married","Prof-specialty","Husband","White","Male","USA",">50K",52,13,40,7688
"263","Federal-gov","Married","Tech-support","Husband","White","Male","Other",">50K",45,10,40,7688
"264","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",49,9,45,7688
"265","Private","Never-married","Adm-clerical","Own-child","White","Female","Other","<=50K",24,10,52,3325
"266","Private","Married","Exec-managerial","Husband","White","Male","USA","<=50K",36,13,50,5013
"267","Self-emp-not-inc","Married","Prof-specialty","Husband","White","Male","USA",">50K",40,15,70,99999
"268","Private","Married","Machine-op-inspct","Wife","Black","Female","USA",">50K",47,9,40,15024
"269","Private","Married","Sales","Husband","White","Male","Other","<=50K",38,9,40,3464
"270","Private","Married","Prof-specialty","Husband","White","Male","Other",">50K",51,16,60,15024
"271","Private","Widowed","Prof-specialty","Unmarried","White","Male","Other",">50K",45,16,40,15020
"272","Private","Married","Machine-op-inspct","Husband","White","Male","USA","<=50K",41,9,40,2885
"273","Private","Married","Sales","Husband","White","Male","USA",">50K",34,13,60,7298
"274","State-gov","Married","Exec-managerial","Husband","White","Male","USA",">50K",46,13,40,7688
"275","Private","Married","Prof-specialty","Not-in-family","White","Male","USA","<=50K",43,13,40,3325
"276","Self-emp-not-inc","Married","Sales","Husband","White","Male","Other",">50K",50,9,55,15024
"277","Private","Married","Prof-specialty","Wife","White","Female","USA",">50K",38,13,40,7688
"278","Private","Married","Adm-clerical","Husband","White","Male","USA",">50K",31,13,50,7298
"279","Private","Married","Machine-op-inspct","Husband","Black","Male","USA",">50K",46,9,40,4386
"280","Private","Married","Tech-support","Husband","White","Male","USA",">50K",59,11,40,7298
"281","Private","Married","Other-service","Husband","White","Male","USA","<=50K",69,5,35,1424
"282","Private","Married","Prof-specialty","Husband","White","Male","USA","<=50K",26,14,40,5013
"283","Private","Married","Craft-repair","Husband","White","Male","Other",">50K",40,15,40,5178
"284","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",52,10,45,15024
"285","Self-emp-not-inc","Divorced","Exec-managerial","Not-in-family","White","Female","USA","<=50K",67,9,16,3273
"286","Private","Divorced","Exec-managerial","Not-in-family","Black","Male","USA",">50K",51,13,40,10520
"287","Self-emp-inc","Married","Farming-fishing","Husband","White","Male","USA",">50K",47,9,40,15024
"288","State-gov","Married","Prof-specialty","Husband","White","Male","USA",">50K",53,16,50,7688
"289","Self-emp-not-inc","Married","Farming-fishing","Wife","White","Female","USA","<=50K",61,9,40,22040
"290","Private","Never-married","Other-service","Own-child","Amer-Indian-Eskimo","Female","USA","<=50K",17,6,20,1055
"291","Federal-gov","Married","Tech-support","Husband","Black","Male","USA",">50K",52,13,40,7688
"292","Private","Married","Machine-op-inspct","Husband","White","Male","Other","<=50K",31,5,40,3137
"293","Private","Never-married","Other-service","Own-child","White","Female","USA","<=50K",33,9,40,1055
"294","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",34,13,60,15024
"295","State-gov","Married","Prof-specialty","Husband","Black","Male","USA",">50K",44,14,40,7688
"296","Private","Married","Other-service","Husband","Asian-Pac-Islander","Male","USA",">50K",33,13,38,7688
"297","Private","Married","Craft-repair","Husband","White","Male","Other",">50K",39,12,60,7688
"298","Private","Divorced","Machine-op-inspct","Not-in-family","White","Male","USA","<=50K",58,9,30,3325
"299","Private","Married","Craft-repair","Husband","Amer-Indian-Eskimo","Male","USA",">50K",41,10,50,7298
"300","Private","Never-married","Adm-clerical","Not-in-family","White","Male","USA","<=50K",27,9,40,4416
"301","Private","Married","Machine-op-inspct","Husband","White","Male","USA",">50K",32,9,50,5178
"302","Private","Married","Transport-moving","Husband","White","Male","USA",">50K",39,9,48,7298
"303","Self-emp-inc","Married","Craft-repair","Husband","White","Male","USA",">50K",37,13,55,15024
"304","Self-emp-inc","Married","Exec-managerial","Husband","White","Male","USA",">50K",49,10,50,15024
"305","Federal-gov","Never-married","Craft-repair","Not-in-family","White","Male","USA","<=50K",26,10,40,3325
"306","Private","Never-married","Other-service","Own-child","White","Female","USA","<=50K",20,10,16,594
"307","Self-emp-inc","Married","Prof-specialty","Husband","White","Male","USA",">50K",52,15,35,99999
"308","Self-emp-not-inc","Married","Exec-managerial","Husband","Amer-Indian-Eskimo","Male","USA","<=50K",45,10,40,3137
"309","Private","Married","Transport-moving","Husband","White","Male","USA",">50K",54,10,60,15024
